Name,Corruption,HP,Attack,Defense,Speed,Luck
Bandit,0,20,10,13,10,7
Bat,0,10,-5,3,15,0
Bear,0,22,11,9,6,2
Cursed Human,15,40,9,-5,10,-5
Cursed Priest,0,25,10,-8,8,-15
Demon,0,30,14,15,12,-25
Dragon,0,250,65,150,2,9
Feral Cultist,0,20,-6,10,10,5
Giant Ant,0,22,12,21,2,0
Giant,0,120,20,45,-20,8
Goblin,0,10,3,1,60,50
Golem,0,120,15,35,-5,0
Gremlin,0,8,5,6,18,23
Harpy,0,14,9,2,25,12
Imp,0,14,6,0,40,-7
Jester,20,35,4,10,15,22
Orc,0,52,20,10,-5,0
Plague Rat,12,10,5,2,15,-6
Rustbound Automaton,0,40,12,-10,5,2
Skeleton,0,18,8,14,3,4
Slime,0,22,7,10,4,0
Spider,0,15,3,0,6,8
Thief,0,12,7,5,12,7
Troll,0,150,35,40,1,3
Witch,0,5,15,1,2,-8
Wolf,0,17,20,6,20,17
Wraith,0,16,-4,3,-18,16
Zombie,8,20,3,-10,-2,-2
